output_file,source_file,asset_id,chosen_sprite,chosen_name,reference_count,all_references
140__kind_of_chess_piece_white4__Chess_edt45__5a00f48232dea62972b2b8a410aff777.svg,5a00f48232dea62972b2b8a410aff777.svg,5a00f48232dea62972b2b8a410aff777,kind of chess piece white4,Chess_edt45,1,kind of chess piece white4:83:Chess_edt45
141__kind_of_chess_piece_white4__Chess_elt2__134e39702ea6984ef244ec65d79ae1a8.svg,134e39702ea6984ef244ec65d79ae1a8.svg,134e39702ea6984ef244ec65d79ae1a8,kind of chess piece white4,Chess_elt2,1,kind of chess piece white4:28:Chess_elt2
142__kind_of_chess_piece_white4__Chess_elt45__a9d64d7dcffdbdfc60ca6c508546cfcf.svg,a9d64d7dcffdbdfc60ca6c508546cfcf.svg,a9d64d7dcffdbdfc60ca6c508546cfcf,kind of chess piece white4,Chess_elt45,2,kind of chess piece white4:27:Chess_elt45 | kind of chess piece2:18:Chess_elt45
143__kind_of_chess_piece_white4__Chess_elt45_1__7c2734dff490832be52e04741ad7f6f4.svg,7c2734dff490832be52e04741ad7f6f4.svg,7c2734dff490832be52e04741ad7f6f4,kind of chess piece white4,Chess_elt45 (1),1,kind of chess piece white4:82:Chess_elt45 (1)
144__kind_of_chess_piece_white4__Chess_Mlt45__44b467bbfd44e2369fb7818fba1bac36.svg,44b467bbfd44e2369fb7818fba1bac36.svg,44b467bbfd44e2369fb7818fba1bac36,kind of chess piece white4,Chess_Mlt45,2,kind of chess piece white4:23:Chess_Mlt45 | 스프라이트 2:14:Chess_Mlt45
145__kind_of_chess_piece_white4__Chess_xlt2__527c1483b3032ae3be71ad48ae24e11f.svg,527c1483b3032ae3be71ad48ae24e11f.svg,527c1483b3032ae3be71ad48ae24e11f,kind of chess piece white4,Chess_xlt2,1,kind of chess piece white4:53:Chess_xlt2
146__kind_of_chess_piece_white4__Chess_xlt45__c40c696f7f0473074e6ac1f95b356b19.svg,c40c696f7f0473074e6ac1f95b356b19.svg,c40c696f7f0473074e6ac1f95b356b19,kind of chess piece white4,Chess_xlt45,3,kind of chess piece white4:37:Chess_xlt45 | kind of chess piece2:27:Chess_xlt45 | 스프라이트 2:21:Chess_xlt45
147__kind_of_chess_piece_white4__costume1_1__78e293d0db6786108971b245865bf98c.svg,78e293d0db6786108971b245865bf98c.svg,78e293d0db6786108971b245865bf98c,kind of chess piece white4,costume1 (1),2,kind of chess piece white4:91:costume1 (1) | 스프라이트 2:36:costume1 (1)
148__kind_of_chess_piece_white4__DCx_U2xhaGga2BHX6T4I8st1a1XszSVJv8X829uwDynl4cANjovliBTCGfaGA1z0NEWKz-bZokKbr4AR__b82c54cca14e4f7fec10b9adc4b4908e.svg,b82c54cca14e4f7fec10b9adc4b4908e.svg,b82c54cca14e4f7fec10b9adc4b4908e,kind of chess piece white4,DCx_U2xhaGga2BHX6T4I8st1a1XszSVJv8X829uwDynl4cANjovliBTCGfaGA1z0NEWKz-bZokKbr4AR9iQbZg,2,kind of chess piece white4:89:DCx_U2xhaGga2BHX6T4I8st1a1XszSVJv8X829uwDynl4cANjovliBTCGfaGA1z0NEWKz-bZokKbr4AR9iQbZg | 스프라이트 2:37:DCx_U2xhaGga2BHX6T4I8st1a1XszSVJv8X829uwDynl4cANjovliBTCGfaGA1z0NEWKz-bZokKbr4AR9iQbZg
149__kind_of_chess_piece_white4__DCx_U2xhaGga2BHX6T4I8st1a1XszSVJv8X829uwDynl4cANjovliBTCGfaGA1z0NEWKz-bZokKbr4AR__8f2859e7dfdefd3d0331bb133a86e038.svg,8f2859e7dfdefd3d0331bb133a86e038.svg,8f2859e7dfdefd3d0331bb133a86e038,kind of chess piece white4,DCx_U2xhaGga2BHX6T4I8st1a1XszSVJv8X829uwDynl4cANjovliBTCGfaGA1z0NEWKz-bZokKbr4AR9iQbZg2,2,kind of chess piece white4:90:DCx_U2xhaGga2BHX6T4I8st1a1XszSVJv8X829uwDynl4cANjovliBTCGfaGA1z0NEWKz-bZokKbr4AR9iQbZg2 | 스프라이트 2:34:DCx_U2xhaGga2BHX6T4I8st1a1XszSVJv8X829uwDynl4cANjovliBTCGfaGA1z0NEWKz-bZokKbr4AR9iQbZg2
150__kind_of_chess_piece_white4__donkeyb__08ea069fcfa36550384703fda8dccdde.svg,08ea069fcfa36550384703fda8dccdde.svg,08ea069fcfa36550384703fda8dccdde,kind of chess piece white4,donkeyb,1,kind of chess piece white4:163:donkeyb
151__kind_of_chess_piece_white4__donkeyb2_1__1bc5a39992a16fd1ee3874461594e155.svg,1bc5a39992a16fd1ee3874461594e155.svg,1bc5a39992a16fd1ee3874461594e155,kind of chess piece white4,donkeyb2 (1),1,kind of chess piece white4:164:donkeyb2 (1)
152__kind_of_chess_piece_white4__dozer__f31686c6b3e651ee433b7b3d2bc95cc9.svg,f31686c6b3e651ee433b7b3d2bc95cc9.svg,f31686c6b3e651ee433b7b3d2bc95cc9,kind of chess piece white4,dozer,4,kind of chess piece white4:16:dozer | chess pieces:31:dozer white | 2:31:dozer white | 스프라이트 2:10:dozer
153__kind_of_chess_piece_white4__dozer2__86bc1c9704e5ebbd7ad267d75be1ed48.svg,86bc1c9704e5ebbd7ad267d75be1ed48.svg,86bc1c9704e5ebbd7ad267d75be1ed48,kind of chess piece white4,dozer2,1,kind of chess piece white4:17:dozer2
154__kind_of_chess_piece_white4__dragonhorse-b__58f4abe6e42784ceacc97444ac3a6ce6.svg,58f4abe6e42784ceacc97444ac3a6ce6.svg,58f4abe6e42784ceacc97444ac3a6ce6,kind of chess piece white4,dragonhorse-b,1,kind of chess piece white4:20:dragonhorse-b
155__kind_of_chess_piece_white4__dragonhorse-w__e3301b0483474a2da96188c64f0de4e9.svg,e3301b0483474a2da96188c64f0de4e9.svg,e3301b0483474a2da96188c64f0de4e9,kind of chess piece white4,dragonhorse-w,2,kind of chess piece white4:19:dragonhorse-w | 스프라이트 2:12:dragonhorse-w
156__kind_of_chess_piece_white4__elephantb__e65d3df85ab677755f17d2208d15464b.svg,e65d3df85ab677755f17d2208d15464b.svg,e65d3df85ab677755f17d2208d15464b,kind of chess piece white4,elephantb,1,kind of chess piece white4:168:elephantb
157__kind_of_chess_piece_white4__elephantw__fade12e7a0a962c095d56891e6d9aa63.svg,fade12e7a0a962c095d56891e6d9aa63.svg,fade12e7a0a962c095d56891e6d9aa63,kind of chess piece white4,elephantw,1,kind of chess piece white4:169:elephantw
158__kind_of_chess_piece_white4__free-icon-triquetra-112313__7c8f6cdf335883926fa9dff7a9cb6e15.svg,7c8f6cdf335883926fa9dff7a9cb6e15.svg,7c8f6cdf335883926fa9dff7a9cb6e15,kind of chess piece white4,free-icon-triquetra-112313,1,kind of chess piece white4:113:free-icon-triquetra-112313
159__kind_of_chess_piece_white4__garl2__4310f4544f9ba6e9685153a5fd5fe211.svg,4310f4544f9ba6e9685153a5fd5fe211.svg,4310f4544f9ba6e9685153a5fd5fe211,kind of chess piece white4,garl2,1,kind of chess piece white4:43:garl2
160__kind_of_chess_piece_white4__generated_019e8bf8-b005-7fad-af41-fa9d2d2f287a2_1__d926c1919fd74051101dad9b9a573899.svg,d926c1919fd74051101dad9b9a573899.svg,d926c1919fd74051101dad9b9a573899,kind of chess piece white4,generated_019e8bf8-b005-7fad-af41-fa9d2d2f287a2 (1),1,kind of chess piece white4:156:generated_019e8bf8-b005-7fad-af41-fa9d2d2f287a2 (1)
161__kind_of_chess_piece_white4__giraffe-b__e39a02359e693f626021803fe78911b9.svg,e39a02359e693f626021803fe78911b9.svg,e39a02359e693f626021803fe78911b9,kind of chess piece white4,giraffe-b,1,kind of chess piece white4:14:giraffe-b
162__kind_of_chess_piece_white4__giraffe-w__e76e4ac8134b76b20cc472766f77d9b3.svg,e76e4ac8134b76b20cc472766f77d9b3.svg,e76e4ac8134b76b20cc472766f77d9b3,kind of chess piece white4,giraffe-w,3,kind of chess piece white4:13:giraffe-w | kind of chess piece2:17:Chess_Glt45 | 스프라이트 2:9:giraffe-w
163__kind_of_chess_piece_white4__goatb__fd12196c2fb962cc528da666221fcadc.svg,fd12196c2fb962cc528da666221fcadc.svg,fd12196c2fb962cc528da666221fcadc,kind of chess piece white4,goatb,1,kind of chess piece white4:170:goatb
164__kind_of_chess_piece_white4__goatw__b20fceb9cfc3dced326234e08409ec12.svg,b20fceb9cfc3dced326234e08409ec12.svg,b20fceb9cfc3dced326234e08409ec12,kind of chess piece white4,goatw,1,kind of chess piece white4:171:goatw
165__kind_of_chess_piece_white4__god__d21c2b47df5331eaf5d8b83960a5c8f5.svg,d21c2b47df5331eaf5d8b83960a5c8f5.svg,d21c2b47df5331eaf5d8b83960a5c8f5,kind of chess piece white4,god,1,kind of chess piece white4:46:god
